1727300,Drama Music ,nm0000378 nm4155713 nm3911517 nm1343287 ,3/22/2013,nm0263009 ,English,UK,In the heat of the summer of 1976,,,
56443,Action Drama Thriller ,nm0001536 nm0619938 nm0462013 nm0411770 ,5/7/1963,nm0000041 ,Japanese,Japan,A crafty samurai helps a young man and his fellow clansmen save his uncle,,,
2750632,Family ,nm5555652 nm3599675 nm5556494 nm5555716 ,9/6/2013,nm1300689 ,Norwegian,Norway,Modulf is bullied by the toughest guys at school. And that's fine. Because then he saves the other kids from being bullied. Then Lise arrives - a new girl in class.,,,
64990,Crime Drama Romance ,nm0000366 nm0000901 nm0096501 nm0274949 ,6/18/1969,nm0000076 ,French,France Italy,Louis Mahe is a tobacco planter at Reunion Island. He is waiting for Julie Roussel to marry her. He only knows her by mail...,,,
2280964,Drama Sci-Fi ,nm2615398 nm1480573 nm0643885 nm2202409 ,6/1/2013,nm0475905 ,Japanese,Japan,,,,
68555,Comedy ,nm0000095 nm0000698 nm0489837 nm0001017 ,1/31/1973,nm0000095 ,English Italian,USA,Seven segments related to one another only in that they all purport to be based on sections of the book by David Reuben...,,,
3008180,Documentary Drama ,,2014,nm1280625 ,English,Ireland USA,A wrongly convicted father comes home after 13 years in prison to discover his real battle is building a relationship with his daughter.,,,
780567,Comedy Drama Family Fantasy ,nm0000552 nm0002006 nm2780578 nm0001074 ,6/12/2009,nm0456732 ,English,USA Germany,A financial executive who can't stop his career downspiral is invited into his daughter's imaginary world,,,
41245,Comedy Romance ,nm0662116 nm0559920 nm0866835 nm0606718 ,1949-12,nm0141351 ,English,UK,Young viscount Pym manages to to get an army leave on the pretense of running for the Conservatives in the next local election...,,,
1215523,Crime Drama ,nm0303087 nm0878155 nm0138873 nm2977282 ,5/29/2009,nm2043863 ,English,USA,Based on the true story of how the FBI brought down one of Detroit's most notorious mobsters.,,,
110944,Action Adventure Drama History Romance ,nm0001462 nm0005246 nm0002142 nm0223103 ,9/9/1994,nm0721817 ,English,USA,Tenuously based on the legends of Easter Island,,,
76245,Drama ,nm0000404 nm0000603 nm0001673 nm0001703 ,1977-10,nm0003593 ,English French German Russian,USA,At the behest of an old and dear friend,,,
1027820,Horror Thriller ,nm0499270 nm1317154 nm1140344 nm2662620 ,5/4/2012,nm2035216 ,English,USA France Belgium,A group of cooks at an asylum for the criminally insane get locked in with the inmates during a massive thunderstorm.,,,
60177,Adventure Drama War Action ,nm0000577 nm0000051 nm0000266 nm0447305 ,6/21/1966,nm0347086 ,English,UK,A young pilot in the German air force of 1918,,,
60176,Drama Mystery Thriller ,nm0376101 nm0000603 nm0587234 nm0145284 ,12/18/1966,nm0000774 ,English,UK Italy USA,A mod London photographer seems to find something very suspicious in the shots he has taken of a mysterious beauty in a desolate park.,,,
434139,Comedy Drama Romance ,nm0103785 nm0057150 nm1377375 nm0000729 ,9/15/2006,nm0001282 ,English,USA,Michael and Jenna,,,
124315,Drama Romance ,nm0001497 nm0000234 nm0000323 nm0005148 ,1/7/2000,nm0002120 ,English,USA,A compassionate young man,,,
1272878,Action Comedy Crime Drama Thriller ,nm0000243 nm0000242 nm1745736 nm0000200 ,8/2/2013,nm0466349 ,English Spanish,USA,A DEA agent and a naval intelligence officer find themselves on the run after a botched attempt to infiltrate a drug cartel. While fleeing,,,
3056608,Crime ,nm2096347 nm0634831 nm3736757 nm6100747 ,10/3/2013,nm3436850 ,Malay,Malaysia,The prequel of KL Gangster,,,
1392899,Action Crime ,nm3360636 nm0498189 nm0156567 nm3010363 ,5/1/2009,nm0944578 ,Mandarin English,Hong Kong China,Mandy slaves away at two jobs struggling to support her family while dreaming about resurrecting her father's martial arts academy,,,
2175583,Horror ,nm4423903 nm2053650 nm4423619 nm4422943 ,,nm4423378 ,English,UK,,,,
23937,Drama ,nm0757104 nm0299346 nm1586462 nm0407329 ,9/7/1933,nm0654868 ,,,,,,
2275794,Comedy Romance ,nm1405359 nm0004626 nm0712437 nm0451600 ,11/22/2013,nm1159647 ,English Hindi Tamil Gujarati,India,A brat who does not care about family business or the relationships in life,,,
437800,Drama ,nm0000291 nm0000401 nm1551130 nm0035664 ,4/28/2006,nm0040328 ,English,USA,A young girl from South Los Angeles tries to make it to the National Spelling Bee.,,,
97372,Documentary History ,nm0522554 nm0560325 nm0777749 nm0148646 ,11/1/1989,nm0718031 ,English,USA,This movie documents the Apollo missions perhaps the most definitively of any movie under two hours...,,,
81318,Horror ,nm0313387 nm0531529 nm0210235 nm0409420 ,5/1/1983,nm0002086 ,English Italian,Italy,A reporter and a psychic race to close the Gates of Hell after the suicide of a clergyman caused them to open,,,
209163,Action Adventure Fantasy ,nm0000409 nm0001838 nm0001314 nm0903677 ,5/4/2001,nm0814085 ,English Arabic,USA,The mummified body of Imhotep is shipped to a museum in London,,,
119802,Crime Drama Thriller ,nm0001459 nm0001324 nm0058029 nm0164873 ,9/25/1998,nm0001130 ,English,USA Canada,A small time hoodlum is divided between his conscience and loyalty to his boss when his cousin is murdered.,,,
484090,Drama Horror Thriller ,nm2589815 nm2297751 nm1669761 nm3074911 ,3/29/2007,nm1802294 nm1059740 ,Korean Thai,Thailand,Deceased Siamese twin returns to haunt surviving sister,,,
824758,Biography Drama Romance ,nm0000545 nm0564215 nm0001626 nm0316079 ,1/15/2010,nm0001355 ,English,Germany Russia UK,A historical drama that illustrates Russian author Leo Tolstoy's struggle to balance fame and wealth with his commitment to a life devoid of material things.,,,
103950,Action Comedy Romance ,nm0000329 nm0636280 nm0939153 nm0331822 ,1/16/1993,nm0939147 ,Cantonese,Hong Kong Japan,Extremely silly comedy about a self-indulgent private investigator who winds up on a cruise ship full of rich patrons,,,
432291,Horror ,nm0919991 nm1192254 nm0004757 nm1154986 ,10/14/2005,nm0906548 ,English,USA,The inhabitants of Antonio Island,,,
2390361,Comedy Drama Romance ,nm0000506 nm0001254 nm0001416 nm0001057 ,10/11/2013,nm0392237 ,English,USA,A divorced woman who decides to pursue the man she's interested in learns he's her new friend's ex-husband.,,,
22048,Comedy Romance ,nm0645438 nm0442886 nm0407329 nm0202136 ,2/7/1931,nm0654868 ,,,,,,
421994,Comedy Drama Romance ,nm0005305 nm0372176 nm0328828 nm0408309 ,2/23/2006,nm0662530 ,English,UK Germany,A newlywed bride becomes infatuated with another woman,,,
1876283,Thriller ,nm1560236 nm0737533 nm0132301 nm1708414 ,1/28/2014,nm1817604 ,English,USA,Michelle takes a job recommended by her counselor that lands her trapped in a mansion with three psychotic siblings hell bent on purging Michelle of her sins.,,,
87298,Horror Thriller ,nm0026687 nm0036978 nm0065206 nm0059228 ,4/13/1984,nm0957263 ,English,USA,After being mortally wounded and taken to the morgue,,,
1333117,Documentary Biography Music ,nm0936719 nm0042782 nm4690935 nm0973081 ,1/27/2010,nm0048354 nm2501200 ,English,USA,A portrait of soul legend Bill Withers.,,,
92067,Animation Action Adventure Family Fantasy Romance ,nm0001593 nm0004735 nm0001458 nm0000434 ,8/2/1986,nm0594503 ,Japanese,Japan,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,,,
