2437954	Action Drama 	nm0219971 nm1182255 nm5856898 nm0695177 	2013-11-21	nm0788858 	Hindi Punjabi	India	A common man works as a tax collector in a small city. A TV journalist uncovers the mysterious hero's back story.
0080839	Comedy 	nm0000936 nm0501422 nm0001842 nm0212586 	1980-06-04	nm0003085 	English	USA	A madcap comedy about Xaviera's attempt to make a film in Hollywood based on her book. Getting mixed up with some of the biggest crooked producers in town, she beats them all at their own game, and makes the film without them.
0113870	Drama Thriller 	nm0000225 nm0000102 nm0000198 nm0001110 	1995-01-20	nm0733692 	English	USA France	An eager and idealistic young attorney defends an Alcatraz prisoner accused of murdering a fellow inmate. The extenuating circumstances: his client had just spent over three years in solitary confinement.
0976051	Drama Romance 	nm0000701 nm0000146 nm0004486 nm0354198 	2009-01-30	nm0197636 	English German Greek Latin	USA Germany	Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.
0082893	Drama War 	nm0000052 nm0550989 nm0454431 nm0320218 	1981-08-27	nm0146960 	Italian	Italy France	After the Allies liberate Naples in 1943, the life for the locals is not much easier, especially for women. Many sacrifice their dignity and morale to survive.
2379090	Comedy 	nm1775766 nm3096796 nm4523486 nm4972096 		nm0134857 	English	USA	
0181865	Crime Drama Thriller 	nm0000140 nm0001125 nm0001876 nm0889846 	2001-01-05	nm0001752 	English Spanish	USA Germany	A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is an addict.
0858479	Comedy Drama Romance 	nm0000598 nm0002006 nm0000572 nm0680983 	2008-04-11	nm1729171 	English Spanish	USA	Into the life of a widowed professor comes a new love and an unexpected visit from his adopted brother.
2354215	Thriller 	nm0000367 nm0823536 nm0901057 nm1159895 	2013-06-26	nm1234893 	French	France Belgium	When a truck trafficking children is intercepted in the desert by the army, one of the traffickers is captured...
0317198	Comedy Romance 	nm0000250 nm0000147 nm0000424 nm0428121 	2004-11-19	nm0452319 	English German Thai	UK France Germany Ireland USA	After finding love, Bridget Jones questions if she really has everything she's dreamed of having.
0457572	Comedy Drama Horror Romance 	nm1579372 nm0175262 nm0005251 nm0443286 	2007-03-16	nm0192933 	English	Canada	In an Earthly world resembling the 1950s, a cloud of space radiation has shrouded the planet, resulting...
0338564	Crime Mystery Thriller 	nm0490489 nm0504897 nm0938893 nm0874676 	2002-12-12	nm0490487 nm0538320 	Cantonese English Thai	Hong Kong	A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.
0378194	Action Crime Thriller 	nm0000235 nm0001016 nm0000514 nm0000435 	2004-04-16	nm0000233 	English Cantonese Mandarin Spanish	USA	The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd and the treacherous, one-eyed Elle.
1064953	Horror 	nm1141657 nm2712336 nm3076376 nm3076270 	2008-04-03	nm0477456 	Korean	South Korea	(Korean with English subtitles) A squad of Korean soldiers is sent to investigate a guard post that overlooks the DMZ...
0328077	Drama Horror Romance Thriller 	nm0004993 nm0756089 nm0001424 nm0001800 	2004-09-08	nm0661484 	English	USA	The twisted tale of Kenneth, socially insecure technical writer who forms an obsessive relationship with "Nikki"...
1727300	Drama Music 	nm0000378 nm4155713 nm3911517 nm1343287 	2013-03-22	nm0263009 	English	UK	In the heat of the summer of 1976, drama teacher Vivienne fights sweltering heat and general teenage apathy to put on an end-of-term version of Shakespeare's The Tempest.
0056443	Action Drama Thriller 	nm0001536 nm0619938 nm0462013 nm0411770 	1963-05-07	nm0000041 	Japanese	Japan	A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent.
